"V1"|"V2"
"653"|"100672"|"100433"
"654"|"100672"|"109473"
"655"|"100672"|"106384"
"656"|"100686"|"107309"
"657"|"100686"|"109208"
"658"|"100686"|"105370"
"659"|"100686"|"109856"
"660"|"100686"|"107305"
"661"|"100686"|"105303"
"662"|"100686"|"107740"
"663"|"100686"|"107802"
"664"|"100686"|"101750"
"665"|"100686"|"102411"
"666"|"100686"|"103632"
"667"|"100686"|"105389"
"668"|"100686"|"106414"
"669"|"100686"|"107867"
"670"|"100686"|"101714"
"671"|"100695"|"107261"
"672"|"100695"|"100459"
"673"|"100695"|"101571"
"674"|"100695"|"101333"
"675"|"100695"|"108376"
"676"|"100695"|"105338"
"677"|"100695"|"101452"
"678"|"100695"|"100102"
"679"|"100695"|"101195"
"680"|"100695"|"100052"
"681"|"100695"|"104466"
"682"|"100709"|"104679"
"683"|"100709"|"107321"
"684"|"100709"|"102176"
"685"|"100709"|"108919"
"686"|"100709"|"104382"
"687"|"100709"|"104139"
"688"|"100709"|"106729"
"689"|"100783"|"100934"
"690"|"100783"|"102982"
"691"|"100783"|"108845"
"692"|"100783"|"102768"
"693"|"100783"|"101552"
"694"|"100783"|"100831"
"695"|"100783"|"108711"
"696"|"100783"|"100937"
"697"|"100783"|"107949"
"698"|"100790"|"106552"
"699"|"100790"|"107554"
"700"|"100790"|"102239"
"701"|"100790"|"101149"
"702"|"100790"|"106540"
"703"|"100790"|"104219"
"704"|"100790"|"108555"
"705"|"100790"|"103373"
"706"|"100790"|"101248"
"707"|"100790"|"103162"
"708"|"100790"|"101627"
"709"|"100790"|"108603"
"710"|"100797"|"104294"
"711"|"100828"|"107818"
"712"|"100828"|"103299"
"713"|"100828"|"104500"
"714"|"100828"|"109306"
"715"|"100828"|"104137"
"716"|"100828"|"106628"
"717"|"100828"|"100042"
"718"|"100828"|"109641"
"719"|"100828"|"101017"
"720"|"100828"|"107816"
"721"|"100828"|"102767"
"722"|"100828"|"104851"
"723"|"100828"|"104629"
"724"|"100828"|"104294"
"725"|"100828"|"100109"
"726"|"100831"|"108836"
"727"|"100831"|"100658"
"728"|"100831"|"104112"
"729"|"100831"|"108834"
"730"|"100831"|"108711"
"731"|"100831"|"101847"
"732"|"100831"|"102416"
"733"|"100831"|"100923"
"734"|"100831"|"102768"
"735"|"100831"|"106683"
"736"|"100831"|"108561"
"737"|"100831"|"104533"
"738"|"100831"|"108562"
"739"|"100831"|"100854"
"740"|"100840"|"107706"
"741"|"100840"|"109296"
"742"|"100840"|"102276"
"743"|"100840"|"101013"
"744"|"100840"|"107863"
"745"|"100841"|"108843"
"746"|"100841"|"108851"
"747"|"100841"|"108724"
"748"|"100841"|"108560"
"749"|"100841"|"102416"
"750"|"100841"|"108825"
"751"|"100841"|"108710"
