state|county|totpop|totalhouseholds|whitepct|blackpct|asianpct|hispanpct|foreignlangpct|average_household_size|home_own_pct|median_home_value|median_rent|pct_moved_last_two_years|median_income|percent_poor|healthpct|bachelorpct|firstreg|secondreg|thirdreg
"Iowa"|"Henry County"|19941|7743|.9163532|.0222657|.0263778|.0488441|.1104759|2.39|.7117397|115500|694|.017|53501|.08|.9127426|.098992|"Mainline Protestant"|"United Methodist"|"Evangelical Protestant"
"Iowa"|"Howard County"|9226|3810|.9810319|.0031433|.0043356|.0160416|.1064383|2.36|.7965879|107100|622|.03|55060|.066|.9208758|.0786907|"Catholic"|"Mainline Protestant"|"Evangelical Lutheran"
"Iowa"|"Humboldt County"|9554|4174|.9734143|.0039774|.00314|.0439606|.1050869|2.26|.7424533|103800|568|.018|54575|.09|.9512246|.1176471|"Mainline Protestant"|"Evangelical Lutheran"|"United Methodist"
"Iowa"|"Ida County"|6901|3011|.9727576|.0068106|.0023185|.0244892|.0736125|2.25|.755563|100900|532|.031|58427|.062|.9484133|.1005651|"Mainline Protestant"|"Evangelical Protestant"|"Lutheran Missouri Synod"
"Iowa"|"Iowa County"|16189|6780|.9675705|.0093273|.0049416|.0286614|.0876521|2.34|.8041298|152500|580|.022|61443|.076|.9469393|.1001297|"Evangelical Protestant"|"Lutheran Missouri Synod"|"Catholic"
"Iowa"|"Jackson County"|19401|8239|.9680429|.004742|.004072|.01469|.0718004|2.32|.7901444|128200|624|.017|55967|.083|.9463429|.0926756|"Catholic"|"Mainline Protestant"|"Evangelical Lutheran"
"Iowa"|"Jasper County"|36971|14574|.9529631|.0199616|.0046523|.0234508|.0885018|2.42|.7450254|134200|730|.016|58952|.054|.9291877|.0956696|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Jefferson County"|18148|6754|.832268|.0719087|.043531|.0304166|.1339542|2.54|.6628665|118300|685|.025|47708|.068|.9461098|.1324113|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
"Iowa"|"Johnson County"|148577|59134|.8171386|.0727905|.0623986|.0561662|.2042375|2.38|.5849258|227600|972|.011|62542|.07|.9338458|.1633833|"Mainline Protestant"|"Catholic"|"Evangelical Protestant"
"Iowa"|"Jones County"|20559|8130|.9543752|.0211586|.0095335|.0203317|.0721339|2.38|.7831488|138400|641|.017|57549|.055|.9159492|.1002967|"Mainline Protestant"|"Catholic"|"Evangelical Lutheran"
"Iowa"|"Keokuk County"|10188|4394|.9748724|.0045151|.0028465|.0174715|.0751865|2.29|.7840236|90400|679|.015|52881|.061|.9608363|.0884374|"Mainline Protestant"|"United Methodist"|"Catholic"
"Iowa"|"Kossuth County"|14978|6646|.966818|.0076112|.0056082|.0268394|.0805849|2.21|.7569967|102100|679|.017|56073|.068|.9360395|.0963413|"Catholic"|"Mainline Protestant"|"Evangelical Protestant"
"Iowa"|"Lee County"|34227|14233|.9365121|.027639|.0062232|.0361411|.0828586|2.32|.7441158|94500|670|.012|49564|.107|.9284483|.0845239|"Mainline Protestant"|"Catholic"|"Evangelical Protestant"
"Iowa"|"Linn County"|223861|90877|.8802158|.0553424|.0227195|.0324889|.1176802|2.41|.7383056|157000|761|.008|64903|.071|.9548202|.1571958|"Catholic"|"Mainline Protestant"|"Evangelical Protestant"
"Iowa"|"Louisa County"|11178|4335|.9032922|.0112721|.033727|.15781|.2247271|2.55|.7690888|108800|637|.015|56673|.08|.9372875|.0740741|"Mainline Protestant"|"United Methodist"|"Evangelical Protestant"
"Iowa"|"Lucas County"|8583|3701|.9909123|.0009321|0|.0200396|.1078877|2.29|.7814105|96400|664|.026|55205|.095|.9346383|.0939066|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Lyon County"|11776|4548|.9666271|.0008492|.0025476|.0264946|.1036005|2.55|.853562|146900|696|.013|64982|.025|.9419158|.0987602|"Mainline Protestant"|"Evangelical Protestant"|"Protestant Reformed"
"Iowa"|"Madison County"|16012|6462|.9702723|.0023732|.0141144|.0204222|.0871222|2.45|.7844321|177500|789|.019|66316|.033|.9565951|.1272171|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Mahaska County"|22164|8927|.9525356|.0140769|.0154304|.0223786|.0908681|2.41|.6901535|115300|652|.017|54825|.094|.9462191|.1044035|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Marion County"|33172|13365|.9577957|.0105209|.0111841|.0192632|.0843482|2.35|.7080434|157300|721|.016|61038|.051|.9598457|.1263716|"Mainline Protestant"|"Protestant Reformed"|"Evangelical Protestant"
"Iowa"|"Marshall County"|39964|15419|.8583475|.0125613|.0368832|.2194725|.2779001|2.52|.7048447|106000|689|.015|56437|.083|.915499|.0918577|"Mainline Protestant"|"Catholic"|"Evangelical Protestant"
"Iowa"|"Mills County"|15034|5554|.9639484|.0068511|.0046561|.0319276|.0805508|2.61|.778538|168900|826|.016|72079|.041|.9461221|.1170015|"Mainline Protestant"|"United Methodist"|"Catholic"
"Iowa"|"Mitchell County"|10608|4355|.9740762|.0030166|.0046192|.0148002|.111991|2.38|.8075775|119400|621|.026|58302|.036|.9217572|.0928544|"Mainline Protestant"|"Evangelical Lutheran"|"Catholic"
"Iowa"|"Monona County"|8730|4000|.9654067|.0030928|0|.0200458|.0599084|2.13|.7235|86900|613|.021|47605|.113|.9282932|.0785796|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
"Iowa"|"Monroe County"|7807|3294|.9723325|.0002562|.0010247|.0098629|.0818496|2.33|.7990285|100200|566|.03|58269|.058|.9444089|.1014474|"Mainline Protestant"|"Catholic"|"United Methodist"
